CodFuncionario -> 000004
Nome -> 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000AJAJ
ValorSalario -> 0000000000455.00
DataAdmissao -> 2020-12-12
CodFuncionario -> 000001
Nome -> 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000MARIANA
ValorSalario -> 0000000000052.00
DataAdmissao -> 2020-12-12
CodFuncionario -> 000007
Nome -> 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000KAIAS
ValorSalario -> 0000000000984.00
DataAdmissao -> 2020-12-25
